date_key,year,quarter,month,month_name,day,day_of_week,is_weekend
2018-02-19,2018,1,2,February,19,Monday,false
2018-02-06,2018,1,2,February,6,Tuesday,false
2018-06-03,2018,2,6,June,3,Sunday,true
2018-04-03,2018,2,4,April,3,Tuesday,false
2017-08-11,2017,3,8,August,11,Friday,false
2018-01-31,2018,1,1,January,31,Wednesday,false
2017-12-25,2017,4,12,December,25,Monday,false
2018-03-16,2018,1,3,March,16,Friday,false
2017-05-17,2017,2,5,May,17,Wednesday,false
2018-05-15,2018,2,5,May,15,Tuesday,false
2018-05-20,2018,2,5,May,20,Sunday,true
2018-02-24,2018,1,2,February,24,Saturday,true
2017-10-13,2017,4,10,October,13,Friday,false
2018-08-09,2018,3,8,August,9,Thursday,false
2018-01-20,2018,1,1,January,20,Saturday,true
2017-10-03,2017,4,10,October,3,Tuesday,false
2017-03-20,2017,1,3,March,20,Monday,false
2018-04-24,2018,2,4,April,24,Tuesday,false
2017-11-05,2017,4,11,November,5,Sunday,true
2018-01-22,2018,1,1,January,22,Monday,false
2017-07-12,2017,3,7,July,12,Wednesday,false
2017-09-18,2017,3,9,September,18,Monday,false
2017-06-04,2017,2,6,June,4,Sunday,true
2017-09-11,2017,3,9,September,11,Monday,false
2018-04-02,2018,2,4,April,2,Monday,false
2018-02-17,2018,1,2,February,17,Saturday,true
2017-04-09,2017,2,4,April,9,Sunday,true
2018-07-15,2018,3,7,July,15,Sunday,true
2018-02-10,2018,1,2,February,10,Saturday,true
2018-08-26,2018,3,8,August,26,Sunday,true
2018-02-04,2018,1,2,February,4,Sunday,true
2017-03-04,2017,1,3,March,4,Saturday,true
2017-02-19,2017,1,2,February,19,Sunday,true
2017-05-10,2017,2,5,May,10,Wednesday,false
2017-09-27,2017,3,9,September,27,Wednesday,false
2017-01-11,2017,1,1,January,11,Wednesday,false
2018-04-28,2018,2,4,April,28,Saturday,true
2018-09-20,2018,3,9,September,20,Thursday,false
2018-08-31,2018,3,8,August,31,Friday,false
2018-09-26,2018,3,9,September,26,Wednesday,false
2018-03-29,2018,1,3,March,29,Thursday,false
2018-06-06,2018,2,6,June,6,Wednesday,false
2018-07-11,2018,3,7,July,11,Wednesday,false
2016-10-04,2016,4,10,October,4,Tuesday,false
2018-01-09,2018,1,1,January,9,Tuesday,false
2017-04-24,2017,2,4,April,24,Monday,false
2018-03-07,2018,1,3,March,7,Wednesday,false
2017-01-21,2017,1,1,January,21,Saturday,true
2017-09-10,2017,3,9,September,10,Sunday,true
2017-02-09,2017,1,2,February,9,Thursday,false
2017-07-28,2017,3,7,July,28,Friday,false
2017-03-19,2017,1,3,March,19,Sunday,true
2017-07-15,2017,3,7,July,15,Saturday,true
